Niveluri de educatie, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Brasov, Anul 1998, Numar persoane, 9244
Total, Total, Brasov, Anul 1999, Numar persoane, 8798
Total, Total, Brasov, Anul 2000, Numar persoane, 8533
Total, Total, Brasov, Anul 2001, Numar persoane, 8633
Total, Total, Brasov, Anul 2002, Numar persoane, 8301
Total, Total, Brasov, Anul 2003, Numar persoane, 8010
Total, Total, Brasov, Anul 2004, Numar persoane, 8195
Total, Total, Brasov, Anul 2005, Numar persoane, 7513
Total, Total, Brasov, Anul 2006, Numar persoane, 7585
Total, Total, Brasov, Anul 2007, Numar persoane, 7637
Total, Total, Brasov, Anul 2008, Numar persoane, 7625
Total, Total, Brasov, Anul 2009, Numar persoane, 7379
Total, Total, Brasov, Anul 2010, Numar persoane, 6551
Total, Total, Brasov, Anul 2011, Numar persoane, 6443
Total, Total, Brasov, Anul 2012, Numar persoane, 6404
Total, Total, Brasov, Anul 2013, Numar persoane, 6661
Total, Total, Brasov, Anul 2014, Numar persoane, 6637
Total, Total, Brasov, Anul 2015, Numar persoane, 6332
Total, Total, Brasov, Anul 2016, Numar persoane, 6469
Total, Total, Brasov, Anul 2017, Numar persoane, 6650
Total, Total, Brasov, Anul 2018, Numar persoane, 6622
Total, Total, Brasov, Anul 2019, Numar persoane, 6687
Total, Total, Brasov, Anul 2020, Numar persoane, 6725
Total, Total, Brasov, Anul 2021, Numar persoane, 6859
Total, Total, Covasna, Anul 1990, Numar persoane, 3159
Total, Total, Covasna, Anul 1991, Numar persoane, 3208
Total, Total, Covasna, Anul 1992, Numar persoane, 3324
Total, Total, Covasna, Anul 1993, Numar persoane, 3477
Total, Total, Covasna, Anul 1994, Numar persoane, 3611
Total, Total, Covasna, Anul 1995, Numar persoane, 3841
Total, Total, Covasna, Anul 1996, Numar persoane, 3859
Total, Total, Covasna, Anul 1997, Numar persoane, 3582
Total, Total, Covasna, Anul 1998, Numar persoane, 3565
Total, Total, Covasna, Anul 1999, Numar persoane, 3456
Total, Total, Covasna, Anul 2000, Numar persoane, 3392
Total, Total, Covasna, Anul 2001, Numar persoane, 3420
Total, Total, Covasna, Anul 2002, Numar persoane, 3278
Total, Total, Covasna, Anul 2003, Numar persoane, 3105
Total, Total, Covasna, Anul 2004, Numar persoane, 3213
Total, Total, Covasna, Anul 2005, Numar persoane, 3110
Total, Total, Covasna, Anul 2006, Numar persoane, 3086
Total, Total, Covasna, Anul 2007, Numar persoane, 3057
Total, Total, Covasna, Anul 2008, Numar persoane, 3137
Total, Total, Covasna, Anul 2009, Numar persoane, 3055
Total, Total, Covasna, Anul 2010, Numar persoane, 2897
Total, Total, Covasna, Anul 2011, Numar persoane, 2867
Total, Total, Covasna, Anul 2012, Numar persoane, 2866
Total, Total, Covasna, Anul 2013, Numar persoane, 2820
Total, Total, Covasna, Anul 2014, Numar persoane, 2690
Total, Total, Covasna, Anul 2015, Numar persoane, 2603
Total, Total, Covasna, Anul 2016, Numar persoane, 2617
Total, Total, Covasna, Anul 2017, Numar persoane, 2616
Total, Total, Covasna, Anul 2018, Numar persoane, 2622
Total, Total, Covasna, Anul 2019, Numar persoane, 2580
Total, Total, Covasna, Anul 2020, Numar persoane, 2715
Total, Total, Covasna, Anul 2021, Numar persoane, 2811
Total, Total, Harghita, Anul 1990, Numar persoane, 4455
Total, Total, Harghita, Anul 1991, Numar persoane, 4698
Total, Total, Harghita, Anul 1992, Numar persoane, 4895
Total, Total, Harghita, Anul 1993, Numar persoane, 4893
Total, Total, Harghita, Anul 1994, Numar persoane, 5092
Total, Total, Harghita, Anul 1995, Numar persoane, 5249
Total, Total, Harghita, Anul 1996, Numar persoane, 5556
Total, Total, Harghita, Anul 1997, Numar persoane, 5440
Total, Total, Harghita, Anul 1998, Numar persoane, 5383
Total, Total, Harghita, Anul 1999, Numar persoane, 5298
Total, Total, Harghita, Anul 2000, Numar persoane, 5119
Total, Total, Harghita, Anul 2001, Numar persoane, 5201
Total, Total, Harghita, Anul 2002, Numar persoane, 4652
Total, Total, Harghita, Anul 2003, Numar persoane, 4612
Total, Total, Harghita, Anul 2004, Numar persoane, 4604
Total, Total, Harghita, Anul 2005, Numar persoane, 4481
Total, Total, Harghita, Anul 2006, Numar persoane, 4349
Total, Total, Harghita, Anul 2007, Numar persoane, 4180
Total, Total, Harghita, Anul 2008, Numar persoane, 4233
Total, Total, Harghita, Anul 2009, Numar persoane, 4368
Total, Total, Harghita, Anul 2010, Numar persoane, 4109
Total, Total, Harghita, Anul 2011, Numar persoane, 4122
Total, Total, Harghita, Anul 2012, Numar persoane, 4127
Total, Total, Harghita, Anul 2013, Numar persoane, 4126
Total, Total, Harghita, Anul 2014, Numar persoane, 4186
Total, Total, Harghita, Anul 2015, Numar persoane, 4072
Total, Total, Harghita, Anul 2016, Numar persoane, 4163
Total, Total, Harghita, Anul 2017, Numar persoane, 4135
Total, Total, Harghita, Anul 2018, Numar persoane, 4184
Total, Total, Harghita, Anul 2019, Numar persoane, 4223
Total, Total, Harghita, Anul 2020, Numar persoane, 4259
Total, Total, Harghita, Anul 2021, Numar persoane, 4373
Total, Total, Mures, Anul 1990, Numar persoane, 7504
Total, Total, Mures, Anul 1991, Numar persoane, 7546
Total, Total, Mures, Anul 1992, Numar persoane, 7969
Total, Total, Mures, Anul 1993, Numar persoane, 7991
Total, Total, Mures, Anul 1994, Numar persoane, 8470
Total, Total, Mures, Anul 1995, Numar persoane, 8557
Total, Total, Mures, Anul 1996, Numar persoane, 8716
Total, Total, Mures, Anul 1997, Numar persoane, 8561
Total, Total, Mures, Anul 1998, Numar persoane, 8595
Total, Total, Mures, Anul 1999, Numar persoane, 8788
Total, Total, Mures, Anul 2000, Numar persoane, 8573
Total, Total, Mures, Anul 2001, Numar persoane, 8646
Total, Total, Mures, Anul 2002, Numar persoane, 8468
Total, Total, Mures, Anul 2003, Numar persoane, 8531
Total, Total, Mures, Anul 2004, Numar persoane, 8578
Total, Total, Mures, Anul 2005, Numar persoane, 8450
Total, Total, Mures, Anul 2006, Numar persoane, 8519
Total, Total, Mures, Anul 2007, Numar persoane, 8377
Total, Total, Mures, Anul 2008, Numar persoane, 8451
Total, Total, Mures, Anul 2009, Numar persoane, 8470
Total, Total, Mures, Anul 2010, Numar persoane, 7953
Total, Total, Mures, Anul 2011, Numar persoane, 7708
Total, Total, Mures, Anul 2012, Numar persoane, 7533
Total, Total, Mures, Anul 2013, Numar persoane, 7721
Total, Total, Mures, Anul 2014, Numar persoane, 7485
Total, Total, Mures, Anul 2015, Numar persoane, 7175
Total, Total, Mures, Anul 2016, Numar persoane, 7211
Total, Total, Mures, Anul 2017, Numar persoane, 7196
Total, Total, Mures, Anul 2018, Numar persoane, 7275
Total, Total, Mures, Anul 2019, Numar persoane, 7332
Total, Total, Mures, Anul 2020, Numar persoane, 7355
Total, Total, Mures, Anul 2021, Numar persoane, 7539
Total, Total, Sibiu, Anul 1990, Numar persoane, 6685
Total, Total, Sibiu, Anul 1991, Numar persoane, 6561
Total, Total, Sibiu, Anul 1992, Numar persoane, 6939
Total, Total, Sibiu, Anul 1993, Numar persoane, 7064
Total, Total, Sibiu, Anul 1994, Numar persoane, 7030
Total, Total, Sibiu, Anul 1995, Numar persoane, 7193
Total, Total, Sibiu, Anul 1996, Numar persoane, 7359
Total, Total, Sibiu, Anul 1997, Numar persoane, 7285
Total, Total, Sibiu, Anul 1998, Numar persoane, 7284
Total, Total, Sibiu, Anul 1999, Numar persoane, 6815
Total, Total, Sibiu, Anul 2000, Numar persoane, 6622
Total, Total, Sibiu, Anul 2001, Numar persoane, 6732
Total, Total, Sibiu, Anul 2002, Numar persoane, 6501
Total, Total, Sibiu, Anul 2003, Numar persoane, 6176
Total, Total, Sibiu, Anul 2004, Numar persoane, 6218
Total, Total, Sibiu, Anul 2005, Numar persoane, 5914
Total, Total, Sibiu, Anul 2006, Numar persoane, 5886
Total, Total, Sibiu, Anul 2007, Numar persoane, 5873
Total, Total, Sibiu, Anul 2008, Numar persoane, 5907
Total, Total, Sibiu, Anul 2009, Numar persoane, 5733
Total, Total, Sibiu, Anul 2010, Numar persoane, 5369
Total, Total, Sibiu, Anul 2011, Numar persoane, 5346
Total, Total, Sibiu, Anul 2012, Numar persoane, 5381
Total, Total, Sibiu, Anul 2013, Numar persoane, 5539
Total, Total, Sibiu, Anul 2014, Numar persoane, 5404
Total, Total, Sibiu, Anul 2015, Numar persoane, 5266
Total, Total, Sibiu, Anul 2016, Numar persoane, 5234
Total, Total, Sibiu, Anul 2017, Numar persoane, 5239
Total, Total, Sibiu, Anul 2018, Numar persoane, 5318
Total, Total, Sibiu, Anul 2019, Numar persoane, 5341
Total, Total, Sibiu, Anul 2020, Numar persoane, 5407
Total, Total, Sibiu, Anul 2021, Numar persoane, 5536
Total, Total, Bacau, Anul 1990, Numar persoane, 9000
Total, Total, Bacau, Anul 1991, Numar persoane, 8842
Total, Total, Bacau, Anul 1992, Numar persoane, 9311
Total, Total, Bacau, Anul 1993, Numar persoane, 9251
Total, Total, Bacau, Anul 1994, Numar persoane, 9496
Total, Total, Bacau, Anul 1995, Numar persoane, 9712
Total, Total, Bacau, Anul 1996, Numar persoane, 9848
Total, Total, Bacau, Anul 1997, Numar persoane, 9587
Total, Total, Bacau, Anul 1998, Numar persoane, 9537
Total, Total, Bacau, Anul 1999, Numar persoane, 9332
Total, Total, Bacau, Anul 2000, Numar persoane, 9149
Total, Total, Bacau, Anul 2001, Numar persoane, 9138
Total, Total, Bacau, Anul 2002, Numar persoane, 8722
Total, Total, Bacau, Anul 2003, Numar persoane, 8485
Total, Total, Bacau, Anul 2004, Numar persoane, 8553
Total, Total, Bacau, Anul 2005, Numar persoane, 8412
Total, Total, Bacau, Anul 2006, Numar persoane, 8422
Total, Total, Bacau, Anul 2007, Numar persoane, 8162
Total, Total, Bacau, Anul 2008, Numar persoane, 8173
Total, Total, Bacau, Anul 2009, Numar persoane, 8010
Total, Total, Bacau, Anul 2010, Numar persoane, 7384
Total, Total, Bacau, Anul 2011, Numar persoane, 7240
Total, Total, Bacau, Anul 2012, Numar persoane, 7195
Total, Total, Bacau, Anul 2013, Numar persoane, 7432
Total, Total, Bacau, Anul 2014, Numar persoane, 7202
Total, Total, Bacau, Anul 2015, Numar persoane, 6959
Total, Total, Bacau, Anul 2016, Numar persoane, 7031
Total, Total, Bacau, Anul 2017, Numar persoane, 6892
Total, Total, Bacau, Anul 2018, Numar persoane, 6611
Total, Total, Bacau, Anul 2019, Numar persoane, 6712
Total, Total, Bacau, Anul 2020, Numar persoane, 6723
Total, Total, Bacau, Anul 2021, Numar persoane, 6746
Total, Total, Botosani, Anul 1990, Numar persoane, 5489
Total, Total, Botosani, Anul 1991, Numar persoane, 5502
Total, Total, Botosani, Anul 1992, Numar persoane, 5689
Total, Total, Botosani, Anul 1993, Numar persoane, 5996
Total, Total, Botosani, Anul 1994, Numar persoane, 6291
Total, Total, Botosani, Anul 1995, Numar persoane, 6326
Total, Total, Botosani, Anul 1996, Numar persoane, 6421
Total, Total, Botosani, Anul 1997, Numar persoane, 6307
Total, Total, Botosani, Anul 1998, Numar persoane, 6141
Total, Total, Botosani, Anul 1999, Numar persoane, 5807
Total, Total, Botosani, Anul 2000, Numar persoane, 5833
Total, Total, Botosani, Anul 2001, Numar persoane, 5906
Total, Total, Botosani, Anul 2002, Numar persoane, 5631
Total, Total, Botosani, Anul 2003, Numar persoane, 5636
Total, Total, Botosani, Anul 2004, Numar persoane, 5693
Total, Total, Botosani, Anul 2005, Numar persoane, 5484
Total, Total, Botosani, Anul 2006, Numar persoane, 5399
Total, Total, Botosani, Anul 2007, Numar persoane, 5385
Total, Total, Botosani, Anul 2008, Numar persoane, 5337
Total, Total, Botosani, Anul 2009, Numar persoane, 5222
Total, Total, Botosani, Anul 2010, Numar persoane, 4999
Total, Total, Botosani, Anul 2011, Numar persoane, 4858
Total, Total, Botosani, Anul 2012, Numar persoane, 4744
Total, Total, Botosani, Anul 2013, Numar persoane, 4903
Total, Total, Botosani, Anul 2014, Numar persoane, 4791
Total, Total, Botosani, Anul 2015, Numar persoane, 4644
Total, Total, Botosani, Anul 2016, Numar persoane, 4629
Total, Total, Botosani, Anul 2017, Numar persoane, 4640
Total, Total, Botosani, Anul 2018, Numar persoane, 4665
Total, Total, Botosani, Anul 2019, Numar persoane, 4614
Total, Total, Botosani, Anul 2020, Numar persoane, 4723
Total, Total, Botosani, Anul 2021, Numar persoane, 4594
Total, Total, Iasi, Anul 1990, Numar persoane, 12572
Total, Total, Iasi, Anul 1991, Numar persoane, 12086
Total, Total, Iasi, Anul 1992, Numar persoane, 12941
Total, Total, Iasi, Anul 1993, Numar persoane, 13025
Total, Total, Iasi, Anul 1994, Numar persoane, 13813
Total, Total, Iasi, Anul 1995, Numar persoane, 14560
Total, Total, Iasi, Anul 1996, Numar persoane, 14953
Total, Total, Iasi, Anul 1997, Numar persoane, 14858
Total, Total, Iasi, Anul 1998, Numar persoane, 15055
Total, Total, Iasi, Anul 1999, Numar persoane, 14524
Total, Total, Iasi, Anul 2000, Numar persoane, 14742
Total, Total, Iasi, Anul 2001, Numar persoane, 14776
Total, Total, Iasi, Anul 2002, Numar persoane, 13914
Total, Total, Iasi, Anul 2003, Numar persoane, 13914
Total, Total, Iasi, Anul 2004, Numar persoane, 14046
Total, Total, Iasi, Anul 2005, Numar persoane, 13767
