Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Mehedinti, Anul 1996, Numar, 2
Mehedinti, Anul 1997, Numar, 1
Mehedinti, Anul 1998, Numar, 1
Mehedinti, Anul 1999, Numar, 6
Mehedinti, Anul 2001, Numar, 3
Mehedinti, Anul 2002, Numar, 2
Mehedinti, Anul 2003, Numar, 2
Mehedinti, Anul 2005, Numar, 2
Mehedinti, Anul 2008, Numar, 4
Mehedinti, Anul 2010, Numar, 1
Olt, Anul 1992, Numar, 2
Olt, Anul 1993, Numar, 6
Olt, Anul 1994, Numar, 3
Olt, Anul 1995, Numar, 5
Olt, Anul 1997, Numar, 1
Olt, Anul 1998, Numar, 2
Olt, Anul 1999, Numar, 11
Olt, Anul 2000, Numar, 3
Olt, Anul 2001, Numar, 3
Olt, Anul 2002, Numar, 1
Olt, Anul 2003, Numar, 2
Olt, Anul 2004, Numar, 1
Olt, Anul 2005, Numar, 1
Olt, Anul 2006, Numar, 1
Olt, Anul 2008, Numar, 2
Olt, Anul 2010, Numar, 2
Olt, Anul 2019, Numar, 1
Olt, Anul 2020, Numar, 0
Olt, Anul 2021, Numar, 0
Valcea, Anul 1992, Numar, 4
Valcea, Anul 1993, Numar, 3
Valcea, Anul 1994, Numar, 3
Valcea, Anul 1995, Numar, 2
Valcea, Anul 1996, Numar, 2
Valcea, Anul 1998, Numar, 4
Valcea, Anul 1999, Numar, 7
Valcea, Anul 2000, Numar, 1
Valcea, Anul 2001, Numar, 3
Valcea, Anul 2002, Numar, 3
Valcea, Anul 2003, Numar, 1
Valcea, Anul 2004, Numar, 2
Valcea, Anul 2005, Numar, 2
Valcea, Anul 2008, Numar, 1
Valcea, Anul 2009, Numar, 1
Valcea, Anul 2010, Numar, 1
Valcea, Anul 2011, Numar, 1
Valcea, Anul 2013, Numar, 1
Valcea, Anul 2019, Numar, 1
Valcea, Anul 2020, Numar, 0
Valcea, Anul 2021, Numar, 0
Arad, Anul 1992, Numar, 4
Arad, Anul 1993, Numar, 9
Arad, Anul 1994, Numar, 21
Arad, Anul 1995, Numar, 20
Arad, Anul 1996, Numar, 13
Arad, Anul 1997, Numar, 9
Arad, Anul 1998, Numar, 6
Arad, Anul 1999, Numar, 18
Arad, Anul 2000, Numar, 2
Arad, Anul 2001, Numar, 2
Arad, Anul 2002, Numar, 2
