Niveluri de educatie, Judete, Localitati , Ani, UM: Numar, Valoare
Total, Covasna, TOTAL, Anul 2017, Numar, 81
Total, Covasna, TOTAL, Anul 2018, Numar, 81
Total, Covasna, TOTAL, Anul 2019, Numar, 80
Total, Covasna, TOTAL, Anul 2020, Numar, 79
Total, Covasna, TOTAL, Anul 2021, Numar, 79
Total, Dambovita, TOTAL, Anul 1992, Numar, 776
Total, Dambovita, TOTAL, Anul 1993, Numar, 779
Total, Dambovita, TOTAL, Anul 1994, Numar, 784
Total, Dambovita, TOTAL, Anul 1995, Numar, 785
Total, Dambovita, TOTAL, Anul 1996, Numar, 789
Total, Dambovita, TOTAL, Anul 1997, Numar, 783
Total, Dambovita, TOTAL, Anul 1998, Numar, 779
Total, Dambovita, TOTAL, Anul 1999, Numar, 743
Total, Dambovita, TOTAL, Anul 2000, Numar, 742
Total, Dambovita, TOTAL, Anul 2001, Numar, 734
Total, Dambovita, TOTAL, Anul 2002, Numar, 713
Total, Dambovita, TOTAL, Anul 2003, Numar, 697
Total, Dambovita, TOTAL, Anul 2004, Numar, 243
Total, Dambovita, TOTAL, Anul 2005, Numar, 254
Total, Dambovita, TOTAL, Anul 2006, Numar, 201
Total, Dambovita, TOTAL, Anul 2007, Numar, 200
Total, Dambovita, TOTAL, Anul 2008, Numar, 202
Total, Dambovita, TOTAL, Anul 2009, Numar, 207
Total, Dambovita, TOTAL, Anul 2010, Numar, 167
Total, Dambovita, TOTAL, Anul 2011, Numar, 156
Total, Dambovita, TOTAL, Anul 2012, Numar, 160
Total, Dambovita, TOTAL, Anul 2013, Numar, 160
Total, Dambovita, TOTAL, Anul 2014, Numar, 161
Total, Dambovita, TOTAL, Anul 2015, Numar, 161
Total, Dambovita, TOTAL, Anul 2016, Numar, 157
Total, Dambovita, TOTAL, Anul 2017, Numar, 154
Total, Dambovita, TOTAL, Anul 2018, Numar, 154
Total, Dambovita, TOTAL, Anul 2019, Numar, 156
Total, Dambovita, TOTAL, Anul 2020, Numar, 153
Total, Dambovita, TOTAL, Anul 2021, Numar, 153
Total, Dolj, TOTAL, Anul 1992, Numar, 819
Total, Dolj, TOTAL, Anul 1993, Numar, 832
Total, Dolj, TOTAL, Anul 1994, Numar, 851
Total, Dolj, TOTAL, Anul 1995, Numar, 857
