Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Urban, Botosani, Anul 2016, Numar persoane, 5
Urban, Botosani, Anul 2017, Numar persoane, 8
Urban, Botosani, Anul 2018, Numar persoane, 5
Urban, Botosani, Anul 2019, Numar persoane, 5
Urban, Botosani, Anul 2020, Numar persoane, 6
Urban, Botosani, Anul 2021, Numar persoane, 4
Urban, Botosani, Anul 2022, Numar persoane, 3
Urban, Iasi, Anul 1990, Numar persoane, 24
Urban, Iasi, Anul 1991, Numar persoane, 27
Urban, Iasi, Anul 1992, Numar persoane, 16
Urban, Iasi, Anul 1993, Numar persoane, 10
Urban, Iasi, Anul 1994, Numar persoane, 13
Urban, Iasi, Anul 1995, Numar persoane, 10
Urban, Iasi, Anul 1996, Numar persoane, 12
Urban, Iasi, Anul 1997, Numar persoane, 12
Urban, Iasi, Anul 1998, Numar persoane, 14
Urban, Iasi, Anul 1999, Numar persoane, 12
Urban, Iasi, Anul 2000, Numar persoane, 12
Urban, Iasi, Anul 2001, Numar persoane, 9
Urban, Iasi, Anul 2002, Numar persoane, 13
Urban, Iasi, Anul 2003, Numar persoane, 8
Urban, Iasi, Anul 2004, Numar persoane, 5
Urban, Iasi, Anul 2005, Numar persoane, 3
Urban, Iasi, Anul 2006, Numar persoane, 4
Urban, Iasi, Anul 2007, Numar persoane, 7
Urban, Iasi, Anul 2008, Numar persoane, 9
Urban, Iasi, Anul 2009, Numar persoane, 10
Urban, Iasi, Anul 2010, Numar persoane, 8
Urban, Iasi, Anul 2011, Numar persoane, 10
Urban, Iasi, Anul 2012, Numar persoane, 2
Urban, Iasi, Anul 2013, Numar persoane, 8
Urban, Iasi, Anul 2014, Numar persoane, 9
Urban, Iasi, Anul 2015, Numar persoane, 5
Urban, Iasi, Anul 2016, Numar persoane, 5
Urban, Iasi, Anul 2017, Numar persoane, 1
Urban, Iasi, Anul 2018, Numar persoane, 5
Urban, Iasi, Anul 2019, Numar persoane, 5
Urban, Iasi, Anul 2020, Numar persoane, 12
Urban, Iasi, Anul 2021, Numar persoane, 5
Urban, Iasi, Anul 2022, Numar persoane, 6
Urban, Neamt, Anul 1990, Numar persoane, 22
Urban, Neamt, Anul 1991, Numar persoane, 16
Urban, Neamt, Anul 1992, Numar persoane, 30
Urban, Neamt, Anul 1993, Numar persoane, 20
Urban, Neamt, Anul 1994, Numar persoane, 18
Urban, Neamt, Anul 1995, Numar persoane, 16
Urban, Neamt, Anul 1996, Numar persoane, 15
Urban, Neamt, Anul 1997, Numar persoane, 12
Urban, Neamt, Anul 1998, Numar persoane, 20
Urban, Neamt, Anul 1999, Numar persoane, 17
Urban, Neamt, Anul 2000, Numar persoane, 12
Urban, Neamt, Anul 2001, Numar persoane, 22
Urban, Neamt, Anul 2002, Numar persoane, 10
Urban, Neamt, Anul 2003, Numar persoane, 7
Urban, Neamt, Anul 2004, Numar persoane, 19
Urban, Neamt, Anul 2005, Numar persoane, 13
Urban, Neamt, Anul 2006, Numar persoane, 11
Urban, Neamt, Anul 2007, Numar persoane, 6
Urban, Neamt, Anul 2008, Numar persoane, 4
Urban, Neamt, Anul 2009, Numar persoane, 7
Urban, Neamt, Anul 2010, Numar persoane, 6
Urban, Neamt, Anul 2011, Numar persoane, 4
Urban, Neamt, Anul 2012, Numar persoane, 5
