YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 2017, Bihor,305.0,2966.0,3351.0,9.0,17.0,644.0,360.0,2.5,2.4,206,8157.0,0.0,14.0
 Anul 2018, Bihor,421.0,2916.0,3365.0,14.0,19.0,530.0,395.0,1.4,1.7,203,8057.0,0.0,14.0
 Anul 2019, Bihor,392.0,2864.0,3393.0,14.0,13.0,592.0,401.0,1.1,1.7,204,8068.0,0.0,14.0
 Anul 2020, Bihor,282.0,2662.0,3204.0,13.0,26.0,494.0,299.0,1.7,2.9,204,7970.0,0.0,14.0
 Anul 2021, Bihor,532.0,2630.0,3351.0,15.0,18.0,524.0,403.0,1.3,1.8,206,8167.0,0.0,14.0
 Anul 1992, Bistrita-Nasaud,318.0,1535.0,3164.0,10.0,23.0,189.0,161.0,15.5,16.7,587,4333.0,0.0,3.0
 Anul 1993, Bistrita-Nasaud,136.0,1382.0,3007.0,5.0,17.0,229.0,184.0,18.2,23.5,595,4382.0,0.0,3.0
 Anul 1994, Bistrita-Nasaud,149.0,1368.0,3064.0,7.0,14.0,306.0,227.0,13.6,25.1,594,4556.0,0.0,3.0
 Anul 1995, Bistrita-Nasaud,312.0,1283.0,2891.0,9.0,21.0,246.0,178.0,10.6,20.3,605,4684.0,0.0,3.0
 Anul 1996, Bistrita-Nasaud,219.0,1311.0,2873.0,11.0,23.0,259.0,240.0,8.0,8.9,604,4863.0,0.0,3.0
 Anul 1997, Bistrita-Nasaud,232.0,1356.0,3032.0,6.0,30.0,250.0,198.0,11.4,10.7,600,4599.0,0.0,3.0
 Anul 1998, Bistrita-Nasaud,129.0,1218.0,2922.0,10.0,11.0,334.0,294.0,13.5,12.4,604,4693.0,0.0,3.0
 Anul 1999, Bistrita-Nasaud,145.0,1219.0,2889.0,8.0,13.0,253.0,218.0,14.9,13.2,581,4565.0,7.0,3.0
 Anul 2000, Bistrita-Nasaud,147.0,1220.0,2784.0,6.0,20.0,292.0,194.0,13.1,12.3,448,4460.0,0.0,3.0
 Anul 2001, Bistrita-Nasaud,114.0,1178.0,2696.0,5.0,17.0,283.0,207.0,11.9,10.4,420,4612.0,1.0,3.0
 Anul 2002, Bistrita-Nasaud,121.0,1035.0,2442.0,3.0,15.0,230.0,185.0,10.4,9.7,419,4473.0,3.0,3.0
 Anul 2003, Bistrita-Nasaud,96.0,1117.0,2546.0,3.0,11.0,207.0,195.0,7.8,7.1,288,4369.0,0.0,3.0
 Anul 2004, Bistrita-Nasaud,151.0,1143.0,2296.0,9.0,15.0,240.0,241.0,5.6,7.2,89,4386.0,1.0,3.0
 Anul 2005, Bistrita-Nasaud,121.0,1292.0,2232.0,6.0,15.0,214.0,173.0,4.5,4.0,100,4381.0,0.0,3.0
 Anul 2006, Bistrita-Nasaud,176.0,1408.0,2087.0,4.0,7.0,389.0,250.0,3.4,3.0,120,4287.0,1.0,3.0
 Anul 2007, Bistrita-Nasaud,120.0,1308.0,2061.0,5.0,17.0,239.0,285.0,2.3,2.5,121,4204.0,0.0,4.0
 Anul 2008, Bistrita-Nasaud,111.0,1426.0,2173.0,11.0,20.0,103.0,200.0,2.5,3.0,120,4176.0,0.0,4.0
 Anul 2009, Bistrita-Nasaud,129.0,1342.0,2266.0,4.0,7.0,225.0,230.0,9.2,7.2,132,4061.0,1.0,4.0
 Anul 2010, Bistrita-Nasaud,105.0,1408.0,2120.0,6.0,12.0,210.0,222.0,6.9,6.0,126,3927.0,0.0,4.0
 Anul 2011, Bistrita-Nasaud,271.0,1242.0,2018.0,5.0,12.0,165.0,194.0,5.0,4.8,126,3747.0,0.0,4.0
 Anul 2012, Bistrita-Nasaud,334.0,1292.0,2046.0,14.0,15.0,90.0,181.0,5.0,4.6,120,3730.0,0.0,4.0
 Anul 2013, Bistrita-Nasaud,321.0,1435.0,2304.0,9.0,10.0,121.0,159.0,5.0,4.7,120,3759.0,0.0,4.0
 Anul 2014, Bistrita-Nasaud,219.0,1353.0,2044.0,3.0,12.0,90.0,109.0,4.6,4.4,120,3764.0,0.0,4.0
 Anul 2015, Bistrita-Nasaud,267.0,1392.0,2123.0,2.0,15.0,123.0,147.0,3.5,3.5,119,3616.0,0.0,4.0
 Anul 2016, Bistrita-Nasaud,385.0,1396.0,2118.0,5.0,10.0,112.0,157.0,3.8,3.6,115,3564.0,0.0,4.0
 Anul 2017, Bistrita-Nasaud,362.0,1362.0,2170.0,4.0,18.0,203.0,175.0,2.9,3.3,116,3577.0,0.0,4.0
 Anul 2018, Bistrita-Nasaud,442.0,1469.0,2113.0,7.0,11.0,194.0,196.0,2.7,3.6,117,3498.0,0.0,4.0
 Anul 2019, Bistrita-Nasaud,369.0,1410.0,2186.0,2.0,14.0,147.0,164.0,2.3,2.9,111,3476.0,0.0,4.0
 Anul 2020, Bistrita-Nasaud,281.0,1273.0,2127.0,6.0,14.0,71.0,98.0,2.8,4.1,116,3417.0,0.0,4.0
 Anul 2021, Bistrita-Nasaud,453.0,1243.0,2014.0,3.0,12.0,206.0,223.0,3.1,4.0,115,3492.0,0.0,4.0
 Anul 1992, Botosani,77.0,2485.0,4183.0,22.0,31.0,202.0,150.0,10.7,11.5,802,5689.0,0.0,7.0
 Anul 1993, Botosani,45.0,2311.0,4078.0,13.0,31.0,278.0,203.0,16.3,16.2,809,5996.0,1.0,9.0
 Anul 1994, Botosani,50.0,2258.0,4266.0,17.0,27.0,460.0,310.0,18.8,18.2,813,6291.0,0.0,10.0
 Anul 1995, Botosani,61.0,2105.0,4129.0,18.0,34.0,377.0,299.0,17.9,16.4,815,6326.0,0.0,10.0
 Anul 1996, Botosani,109.0,1931.0,4000.0,11.0,29.0,332.0,276.0,11.4,9.6,819,6421.0,0.0,10.0
 Anul 1997, Botosani,144.0,1977.0,4311.0,15.0,28.0,392.0,332.0,15.2,11.3,802,6307.0,0.0,10.0
 Anul 1998, Botosani,123.0,2021.0,4297.0,17.0,26.0,425.0,377.0,18.9,14.4,793,6141.0,5.0,10.0
 Anul 1999, Botosani,113.0,1945.0,4494.0,16.0,31.0,331.0,331.0,20.2,15.3,766,5807.0,26.0,10.0
 Anul 2000, Botosani,137.0,1914.0,4426.0,10.0,31.0,389.0,315.0,19.3,14.1,761,5833.0,3.0,10.0
 Anul 2001, Botosani,89.0,1786.0,4387.0,8.0,33.0,315.0,301.0,15.0,8.9,758,5906.0,0.0,10.0
 Anul 2002, Botosani,92.0,1773.0,4207.0,13.0,30.0,392.0,306.0,13.6,8.6,756,5631.0,3.0,11.0
 Anul 2003, Botosani,97.0,1764.0,3986.0,12.0,22.0,399.0,312.0,12.6,6.9,587,5636.0,2.0,11.0
 Anul 2004, Botosani,90.0,2016.0,3479.0,10.0,21.0,428.0,279.0,10.8,5.4,587,5693.0,2.0,11.0
 Anul 2005, Botosani,96.0,2063.0,3231.0,14.0,21.0,454.0,314.0,8.0,4.3,271,5484.0,3.0,11.0
 Anul 2006, Botosani,126.0,1968.0,3135.0,5.0,17.0,473.0,215.0,7.2,3.7,173,5399.0,0.0,10.0
 Anul 2007, Botosani,91.0,1843.0,2859.0,5.0,13.0,454.0,301.0,4.8,3.2,168,5385.0,0.0,10.0
